DiaDaSemana,Região,TurnoDoDia,Crime,Arma,IncidênciaDeFavelas,Ilumicacao,PericiaInvestigacao
Útil,Sul,Madrugada,Roubo,ArmaDeFogo,Alta,FALSE,não
FinalDeSemana,Norte,Madrugada,TráficoDeDrogas,ArmaBranca,Alta,FALSE,não
FinalDeSemana,Centro,Manhã,Estupro,ArmaBranca,Média,TRUE,sim
FinalDeSemana,Oeste,Madrugada,Homicídio,ArmaBranca,Baixa,TRUE,não
Útil,Sul,Manhã,Assalto,ArmaDeFogo,Baixa,TRUE,não
FinalDeSemana,Norte,Madrugada,TráficoDeDrogas,ArmaBranca,Alta,FALSE,não
FinalDeSemana,Centro,Manhã,Estupro,ArmaBranca,Média,TRUE,sim
FinalDeSemana,Oeste,Madrugada,Homicídio,ArmaBranca,Baixa,TRUE,não
Útil,Sul,Manhã,Assalto,ArmaDeFogo,Baixa,TRUE,não
FinalDeSemana,Sul,Noite,Roubo,Agressão,Alta,TRUE,sim
FinalDeSemana,Norte,Manhã,Homicídio,ArmaBranca,Baixa,TRUE,não
FinalDeSemana,Leste,Noite,Roubo,ArmaBranca,Baixa,TRUE,não
Útil,Sul,Tarde,Homicídio,ArmaBranca,Baixa,FALSE,não
FinalDeSemana,Leste,Manhã,Agressão,Agressão,Alta,FALSE,não
FinalDeSemana,Norte,Noite,TráficoDeDrogas,ArmaBranca,Média,TRUE,não
Útil,Oeste,Noite,Agressão,ArmaDeFogo,Média,TRUE,não
Útil,Oeste,Noite,Agressão,Agressão,Baixa,FALSE,sim
Útil,Norte,Tarde,Estupro,ArmaDeFogo,Alta,TRUE,sim
FinalDeSemana,Norte,Madrugada,Homicídio,Agressão,Baixa,FALSE,não
Útil,Centro,Tarde,TráficoDeDrogas,ArmaDeFogo,Baixa,TRUE,sim
FinalDeSemana,Leste,Tarde,Assalto,ArmaBranca,Baixa,FALSE,não
Útil,Sul,Madrugada,Homicídio,Agressão,Média,FALSE,não
FinalDeSemana,Norte,Manhã,Homicídio,ArmaDeFogo,Alta,FALSE,não
Útil,Sul,Noite,Estupro,ArmaBranca,Média,TRUE,não
Útil,Sul,Madrugada,Homicídio,ArmaBranca,Alta,FALSE,sim
Útil,Oeste,Tarde,Estupro,Agressão,Média,TRUE,não
FinalDeSemana,Oeste,Tarde,TráficoDeDrogas,Agressão,Média,FALSE,não
Útil,Norte,Madrugada,Homicídio,ArmaDeFogo,Média,FALSE,sim
Útil,Centro,Madrugada,Estupro,ArmaBranca,Alta,TRUE,não
FinalDeSemana,Leste,Madrugada,Roubo,ArmaBranca,Baixa,FALSE,sim
FinalDeSemana,Oeste,Manhã,Homicídio,ArmaBranca,Baixa,FALSE,sim
FinalDeSemana,Leste,Madrugada,Roubo,ArmaDeFogo,Média,TRUE,não
Útil,Oeste,Madrugada,Homicídio,ArmaDeFogo,Alta,TRUE,não
FinalDeSemana,Centro,Noite,Estupro,Agressão,Alta,FALSE,sim
FinalDeSemana,Oeste,Noite,Assalto,Agressão,Baixa,TRUE,sim
FinalDeSemana,Norte,Manhã,Roubo,ArmaBranca,Alta,TRUE,sim
FinalDeSemana,Norte,Noite,Assalto,Agressão,Baixa,TRUE,sim
FinalDeSemana,Leste,Noite,Roubo,ArmaBranca,Baixa,FALSE,sim
Útil,Oeste,Noite,Estupro,ArmaBranca,Baixa,TRUE,sim
Útil,Centro,Manhã,TráficoDeDrogas,ArmaBranca,Baixa,TRUE,sim
Útil,Norte,Manhã,Estupro,ArmaDeFogo,Baixa,FALSE,não
Útil,Norte,Madrugada,TráficoDeDrogas,ArmaDeFogo,Alta,TRUE,sim
FinalDeSemana,Leste,Tarde,Homicídio,Agressão,Alta,TRUE,não
Útil,Sul,Madrugada,TráficoDeDrogas,Agressão,Média,FALSE,não
FinalDeSemana,Sul,Manhã,Assalto,ArmaDeFogo,Média,FALSE,não
FinalDeSemana,Norte,Manhã,Homicídio,ArmaBranca,Alta,TRUE,sim
Útil,Norte,Madrugada,Estupro,ArmaDeFogo,Alta,FALSE,não
Útil,Leste,Manhã,Agressão,ArmaDeFogo,Baixa,FALSE,sim
Útil,Norte,Noite,Roubo,ArmaDeFogo,Alta,FALSE,sim
Útil,Leste,Madrugada,Homicídio,Agressão,Baixa,FALSE,não
Útil,Leste,Madrugada,Homicídio,ArmaBranca,Baixa,TRUE,não
FinalDeSemana,Centro,Manhã,Homicídio,Agressão,Baixa,TRUE,não
FinalDeSemana,Sul,Noite,Homicídio,Agressão,Baixa,TRUE,sim
Útil,Sul,Tarde,Roubo,ArmaDeFogo,Média,FALSE,não
Útil,Oeste,Noite,Estupro,ArmaBranca,Alta,TRUE,sim
Útil,Norte,Noite,Agressão,Agressão,Baixa,FALSE,sim
Útil,Leste,Noite,Homicídio,ArmaDeFogo,Baixa,FALSE,não
Útil,Sul,Noite,Agressão,ArmaBranca,Alta,TRUE,sim
Útil,Leste,Tarde,Agressão,Agressão,Alta,FALSE,não
FinalDeSemana,Norte,Tarde,Estupro,ArmaBranca,Alta,TRUE,sim
FinalDeSemana,Norte,Madrugada,Agressão,Agressão,Baixa,FALSE,sim
Útil,Centro,Tarde,TráficoDeDrogas,Agressão,Média,TRUE,não
Útil,Centro,Tarde,Agressão,ArmaDeFogo,Média,FALSE,sim
FinalDeSemana,Centro,Madrugada,Agressão,ArmaDeFogo,Média,TRUE,não
Útil,Oeste,Noite,Homicídio,Agressão,Média,FALSE,sim
Útil,Sul,Madrugada,Roubo,Agressão,Baixa,TRUE,sim
Útil,Oeste,Manhã,Roubo,ArmaDeFogo,Baixa,TRUE,sim
FinalDeSemana,Norte,Manhã,Roubo,Agressão,Baixa,FALSE,sim
FinalDeSemana,Sul,Manhã,Estupro,ArmaDeFogo,Média,TRUE,sim
