date	company_name	revenue
2014/01/01	Teste_Cohortiano	198
2014/01/02	Teste_Cohortiano	120
2014/01/03	Teste_Cohortiano	331
2014/01/04	Teste_Cohortiano	283
2014/01/05	Teste_Cohortiano	198
2014/01/06	Teste_Cohortiano	313
2014/01/07	Teste_Cohortiano	67
2014/01/08	Teste_Cohortiano	401
2014/01/09	Teste_Cohortiano	421
2014/01/10	Teste_Cohortiano	274
2014/01/11	Teste_Cohortiano	131
2014/01/12	Teste_Cohortiano	303
2014/01/13	Teste_Cohortiano	398
2014/01/14	Teste_Cohortiano	376
2014/01/15	Teste_Cohortiano	265
2014/01/16	Teste_Cohortiano	461
2014/01/17	Teste_Cohortiano	326
2014/01/18	Teste_Cohortiano	444
2014/01/19	Teste_Cohortiano	359
2014/01/20	Teste_Cohortiano	303
2014/01/21	Teste_Cohortiano	391
2014/01/22	Teste_Cohortiano	341
2014/01/23	Teste_Cohortiano	376
2014/01/24	Teste_Cohortiano	158
2014/01/25	Teste_Cohortiano	352
2014/01/26	Teste_Cohortiano	408
2014/01/27	Teste_Cohortiano	293
2014/01/28	Teste_Cohortiano	393
2014/01/29	Teste_Cohortiano	266
2014/01/30	Teste_Cohortiano	281
2014/01/31	Teste_Cohortiano	114
2014/02/01	Teste_Cohortiano	82
2014/02/02	Teste_Cohortiano	312
2014/02/03	Teste_Cohortiano	383
2014/02/04	Teste_Cohortiano	159
2014/02/05	Teste_Cohortiano	361
2014/02/06	Teste_Cohortiano	257
2014/02/07	Teste_Cohortiano	438
2014/02/08	Teste_Cohortiano	216
2014/02/09	Teste_Cohortiano	381
2014/02/10	Teste_Cohortiano	422
2014/02/11	Teste_Cohortiano	249
2014/02/12	Teste_Cohortiano	266
2014/02/13	Teste_Cohortiano	186
2014/02/14	Teste_Cohortiano	418
2014/02/15	Teste_Cohortiano	339
2014/02/16	Teste_Cohortiano	377
2014/02/17	Teste_Cohortiano	312
2014/02/18	Teste_Cohortiano	112
2014/02/19	Teste_Cohortiano	141
2014/02/20	Teste_Cohortiano	441
2014/02/21	Teste_Cohortiano	358
2014/02/22	Teste_Cohortiano	279
2014/02/23	Teste_Cohortiano	209
2014/02/24	Teste_Cohortiano	91
2014/02/25	Teste_Cohortiano	427
2014/02/26	Teste_Cohortiano	110
2014/02/27	Teste_Cohortiano	431
2014/02/28	Teste_Cohortiano	163
2014/03/01	Teste_Cohortiano	369
2014/03/02	Teste_Cohortiano	223
2014/03/03	Teste_Cohortiano	223
2014/03/04	Teste_Cohortiano	445
2014/03/05	Teste_Cohortiano	295
2014/03/06	Teste_Cohortiano	248
2014/03/07	Teste_Cohortiano	353
2014/03/08	Teste_Cohortiano	438
2014/03/09	Teste_Cohortiano	393
2014/03/10	Teste_Cohortiano	86
2014/03/11	Teste_Cohortiano	301
2014/03/12	Teste_Cohortiano	192
2014/03/13	Teste_Cohortiano	346
2014/03/14	Teste_Cohortiano	240
2014/03/15	Teste_Cohortiano	442
2014/03/16	Teste_Cohortiano	298
2014/03/17	Teste_Cohortiano	364
2014/03/18	Teste_Cohortiano	423
2014/03/19	Teste_Cohortiano	291
2014/03/20	Teste_Cohortiano	348
2014/03/21	Teste_Cohortiano	262
2014/03/22	Teste_Cohortiano	68
2014/03/23	Teste_Cohortiano	401
2014/03/24	Teste_Cohortiano	340
2014/03/25	Teste_Cohortiano	133
2014/03/26	Teste_Cohortiano	245
2014/03/27	Teste_Cohortiano	279
2014/03/28	Teste_Cohortiano	424
2014/03/29	Teste_Cohortiano	336
2014/03/30	Teste_Cohortiano	269
2014/03/31	Teste_Cohortiano	192
2014/04/01	Teste_Cohortiano	403
2014/04/02	Teste_Cohortiano	99
2014/04/03	Teste_Cohortiano	212
2014/04/04	Teste_Cohortiano	254
2014/04/05	Teste_Cohortiano	121
2014/04/06	Teste_Cohortiano	315
2014/04/07	Teste_Cohortiano	238
2014/04/08	Teste_Cohortiano	168
2014/04/09	Teste_Cohortiano	357
2014/04/10	Teste_Cohortiano	251
2014/04/11	Teste_Cohortiano	305
2014/04/12	Teste_Cohortiano	264
2014/04/13	Teste_Cohortiano	142
2014/04/14	Teste_Cohortiano	418
2014/04/15	Teste_Cohortiano	228
2014/04/16	Teste_Cohortiano	104
2014/04/17	Teste_Cohortiano	264
2014/04/18	Teste_Cohortiano	392
2014/04/19	Teste_Cohortiano	189
2014/04/20	Teste_Cohortiano	313
2014/04/21	Teste_Cohortiano	396
2014/04/22	Teste_Cohortiano	361
2014/04/23	Teste_Cohortiano	427
2014/04/24	Teste_Cohortiano	358
2014/04/25	Teste_Cohortiano	362
2014/04/26	Teste_Cohortiano	96
2014/04/27	Teste_Cohortiano	112
2014/04/28	Teste_Cohortiano	212
2014/04/29	Teste_Cohortiano	69
2014/04/30	Teste_Cohortiano	231
2014/05/01	Teste_Cohortiano	299
2014/05/02	Teste_Cohortiano	420
2014/05/03	Teste_Cohortiano	191
2014/05/04	Teste_Cohortiano	282
2014/05/05	Teste_Cohortiano	461
2014/05/06	Teste_Cohortiano	185
2014/05/07	Teste_Cohortiano	377
2014/05/08	Teste_Cohortiano	97
2014/05/09	Teste_Cohortiano	305
2014/05/10	Teste_Cohortiano	353
2014/05/11	Teste_Cohortiano	457
2014/05/12	Teste_Cohortiano	332
2014/05/13	Teste_Cohortiano	291
2014/05/14	Teste_Cohortiano	456
2014/05/15	Teste_Cohortiano	121
2014/05/16	Teste_Cohortiano	68
2014/05/17	Teste_Cohortiano	280
2014/05/18	Teste_Cohortiano	212
2014/05/19	Teste_Cohortiano	433
2014/05/20	Teste_Cohortiano	442
2014/05/21	Teste_Cohortiano	266
2014/05/22	Teste_Cohortiano	111
2014/05/23	Teste_Cohortiano	353
2014/05/24	Teste_Cohortiano	452
2014/05/25	Teste_Cohortiano	214
2014/05/26	Teste_Cohortiano	193
2014/05/27	Teste_Cohortiano	124
2014/05/28	Teste_Cohortiano	367
2014/05/29	Teste_Cohortiano	130
2014/05/30	Teste_Cohortiano	452
2014/05/31	Teste_Cohortiano	223
2014/06/01	Teste_Cohortiano	156
2014/06/02	Teste_Cohortiano	211
2014/06/03	Teste_Cohortiano	235
2014/06/04	Teste_Cohortiano	247
2014/06/05	Teste_Cohortiano	329
2014/06/06	Teste_Cohortiano	186
2014/06/07	Teste_Cohortiano	429
2014/06/08	Teste_Cohortiano	353
2014/06/09	Teste_Cohortiano	107
2014/06/10	Teste_Cohortiano	223
2014/06/11	Teste_Cohortiano	464
2014/06/12	Teste_Cohortiano	445
2014/06/13	Teste_Cohortiano	123
2014/06/14	Teste_Cohortiano	322
2014/06/15	Teste_Cohortiano	295
2014/06/16	Teste_Cohortiano	94
2014/06/17	Teste_Cohortiano	170
2014/06/18	Teste_Cohortiano	123
2014/06/19	Teste_Cohortiano	145
2014/06/20	Teste_Cohortiano	158
2014/06/21	Teste_Cohortiano	311
2014/06/22	Teste_Cohortiano	371
2014/06/23	Teste_Cohortiano	217
2014/06/24	Teste_Cohortiano	411
2014/06/25	Teste_Cohortiano	147
2014/06/26	Teste_Cohortiano	86
2014/06/27	Teste_Cohortiano	288
2014/06/28	Teste_Cohortiano	237
2014/06/29	Teste_Cohortiano	242
2014/06/30	Teste_Cohortiano	224
2014/07/01	Teste_Cohortiano	428
2014/07/02	Teste_Cohortiano	169
2014/07/03	Teste_Cohortiano	140
2014/07/04	Teste_Cohortiano	278
2014/07/05	Teste_Cohortiano	287
2014/07/06	Teste_Cohortiano	207
2014/07/07	Teste_Cohortiano	424
2014/07/08	Teste_Cohortiano	438
2014/07/09	Teste_Cohortiano	453
2014/07/10	Teste_Cohortiano	278
2014/07/11	Teste_Cohortiano	225
2014/07/12	Teste_Cohortiano	293
2014/07/13	Teste_Cohortiano	157
2014/07/14	Teste_Cohortiano	182
2014/07/15	Teste_Cohortiano	126
2014/07/16	Teste_Cohortiano	308
2014/07/17	Teste_Cohortiano	116
2014/07/18	Teste_Cohortiano	81
2014/07/19	Teste_Cohortiano	226
2014/07/20	Teste_Cohortiano	274
2014/07/21	Teste_Cohortiano	141
2014/07/22	Teste_Cohortiano	440
2014/07/23	Teste_Cohortiano	335
2014/07/24	Teste_Cohortiano	206
2014/07/25	Teste_Cohortiano	323
2014/07/26	Teste_Cohortiano	367
2014/07/27	Teste_Cohortiano	214
2014/07/28	Teste_Cohortiano	440
2014/07/29	Teste_Cohortiano	321
2014/07/30	Teste_Cohortiano	258
2014/07/31	Teste_Cohortiano	303
2014/08/01	Teste_Cohortiano	307
2014/08/02	Teste_Cohortiano	296
2014/08/03	Teste_Cohortiano	397
2014/08/04	Teste_Cohortiano	330
2014/08/05	Teste_Cohortiano	321
2014/08/06	Teste_Cohortiano	319
2014/08/07	Teste_Cohortiano	355
2014/08/08	Teste_Cohortiano	337
2014/08/09	Teste_Cohortiano	332
2014/08/10	Teste_Cohortiano	227
2014/08/11	Teste_Cohortiano	444
2014/08/12	Teste_Cohortiano	346
2014/08/13	Teste_Cohortiano	92
2014/08/14	Teste_Cohortiano	176
2014/08/15	Teste_Cohortiano	458
2014/08/16	Teste_Cohortiano	112
2014/08/17	Teste_Cohortiano	445
2014/08/18	Teste_Cohortiano	76
2014/08/19	Teste_Cohortiano	390
2014/08/20	Teste_Cohortiano	287
2014/08/21	Teste_Cohortiano	252
2014/08/22	Teste_Cohortiano	361
2014/08/23	Teste_Cohortiano	73
2014/08/24	Teste_Cohortiano	359
2014/08/25	Teste_Cohortiano	269
2014/08/26	Teste_Cohortiano	412
2014/08/27	Teste_Cohortiano	407
2014/08/28	Teste_Cohortiano	367
2014/08/29	Teste_Cohortiano	79
2014/08/30	Teste_Cohortiano	220
2014/08/31	Teste_Cohortiano	155
2014/09/01	Teste_Cohortiano	446
2014/09/02	Teste_Cohortiano	183
2014/09/03	Teste_Cohortiano	249
2014/09/04	Teste_Cohortiano	452
2014/09/05	Teste_Cohortiano	234
2014/09/06	Teste_Cohortiano	245
2014/09/07	Teste_Cohortiano	226
2014/09/08	Teste_Cohortiano	373
2014/09/09	Teste_Cohortiano	231
2014/09/10	Teste_Cohortiano	326
2014/09/11	Teste_Cohortiano	138
2014/09/12	Teste_Cohortiano	433
2014/09/13	Teste_Cohortiano	335
2014/09/14	Teste_Cohortiano	329
2014/09/15	Teste_Cohortiano	357
2014/09/16	Teste_Cohortiano	406
2014/09/17	Teste_Cohortiano	407
2014/09/18	Teste_Cohortiano	379
2014/09/19	Teste_Cohortiano	249
2014/09/20	Teste_Cohortiano	445
2014/09/21	Teste_Cohortiano	363
2014/09/22	Teste_Cohortiano	269
2014/09/23	Teste_Cohortiano	104
2014/09/24	Teste_Cohortiano	250
2014/09/25	Teste_Cohortiano	321
2014/09/26	Teste_Cohortiano	135
2014/09/27	Teste_Cohortiano	461
2014/09/28	Teste_Cohortiano	383
2014/09/29	Teste_Cohortiano	412
2014/09/30	Teste_Cohortiano	255
2014/10/01	Teste_Cohortiano	357
2014/10/02	Teste_Cohortiano	275
2014/10/03	Teste_Cohortiano	247
2014/10/04	Teste_Cohortiano	147
2014/10/05	Teste_Cohortiano	235
2014/10/06	Teste_Cohortiano	180
2014/10/07	Teste_Cohortiano	441
2014/10/08	Teste_Cohortiano	438
2014/10/09	Teste_Cohortiano	67
2014/10/10	Teste_Cohortiano	427
2014/10/11	Teste_Cohortiano	356
2014/10/12	Teste_Cohortiano	251
2014/10/13	Teste_Cohortiano	326
2014/10/14	Teste_Cohortiano	436
2014/10/15	Teste_Cohortiano	448
2014/10/16	Teste_Cohortiano	191
2014/10/17	Teste_Cohortiano	371
2014/10/18	Teste_Cohortiano	353
2014/10/19	Teste_Cohortiano	429
2014/10/20	Teste_Cohortiano	179
2014/10/21	Teste_Cohortiano	434
2014/10/22	Teste_Cohortiano	89
2014/10/23	Teste_Cohortiano	172
2014/10/24	Teste_Cohortiano	152
2014/10/25	Teste_Cohortiano	241
2014/10/26	Teste_Cohortiano	116
2014/10/27	Teste_Cohortiano	346
2014/10/28	Teste_Cohortiano	106
2014/10/29	Teste_Cohortiano	423
2014/10/30	Teste_Cohortiano	356
2014/10/31	Teste_Cohortiano	209
2014/11/01	Teste_Cohortiano	281
2014/11/02	Teste_Cohortiano	395
2014/11/03	Teste_Cohortiano	463
2014/11/04	Teste_Cohortiano	136
2014/11/05	Teste_Cohortiano	376
2014/11/06	Teste_Cohortiano	345
2014/11/07	Teste_Cohortiano	434
2014/11/08	Teste_Cohortiano	248
2014/11/09	Teste_Cohortiano	412
2014/11/10	Teste_Cohortiano	261
2014/11/11	Teste_Cohortiano	138
2014/11/12	Teste_Cohortiano	186
2014/11/13	Teste_Cohortiano	420
2014/11/14	Teste_Cohortiano	307
2014/11/15	Teste_Cohortiano	112
2014/11/16	Teste_Cohortiano	219
2014/11/17	Teste_Cohortiano	408
2014/11/18	Teste_Cohortiano	212
2014/11/19	Teste_Cohortiano	75
2014/11/20	Teste_Cohortiano	347
2014/11/21	Teste_Cohortiano	343
2014/11/22	Teste_Cohortiano	446
2014/11/23	Teste_Cohortiano	151
2014/11/24	Teste_Cohortiano	373
2014/11/25	Teste_Cohortiano	168
2014/11/26	Teste_Cohortiano	118
2014/11/27	Teste_Cohortiano	282
2014/11/28	Teste_Cohortiano	466
2014/11/29	Teste_Cohortiano	115
2014/11/30	Teste_Cohortiano	394
2014/12/01	Teste_Cohortiano	123
2014/12/02	Teste_Cohortiano	67
2014/12/03	Teste_Cohortiano	215
2014/12/04	Teste_Cohortiano	324
2014/12/05	Teste_Cohortiano	261
2014/12/06	Teste_Cohortiano	72
