area,creation_date,created_as_free_user,active_date,renew_count,last_successfully_transaction,has_billed,charge_id,last_renew_attempt,user_plan,billing_count,cancelled_date,survival_days,churned
21,2015-10-11,0,2015-10-11,0,2015-10-25,1,"3,793",2015-10-25,1,0,2015-10-25,14,1
87,2015-10-13,1,2015-10-13,0,,0,"3,793",2015-11-07,1,1,,,0
19,2015-10-09,0,2015-10-09,0,2015-10-16,1,"3,793",2015-10-16,2,0,2015-10-21,12,1
77,2015-10-10,1,2015-10-10,0,,0,"3,793",2015-11-07,1,1,,,0
77,2015-10-03,1,2015-10-08,0,,0,"3,793",2015-10-26,1,1,2015-10-26,18,1
71,2015-10-02,1,2015-10-02,0,,0,"3,793",2015-11-07,1,1,,,0
62,2015-10-11,1,2015-10-11,0,2015-10-11,1,"3,793",2015-10-21,1,3,2015-10-21,10,1
89,2015-10-02,1,2015-10-02,1,2015-10-07,1,"3,793",2015-11-07,1,1,,,0
31,2015-10-02,1,2015-10-02,0,2015-10-27,1,"3,793",2015-10-27,1,0,2015-10-27,25,1
81,2015-07-21,0,2015-07-21,7,2015-09-18,1,"3,793",2015-11-07,1,1,,,0
21,2015-10-07,1,2015-10-07,0,2015-10-21,1,"3,793",2015-10-21,1,0,2015-10-21,14,1
77,2015-10-08,1,2015-10-08,0,,0,"3,793",2015-11-07,1,1,,,0
49,2015-10-11,1,2015-10-11,1,2015-10-28,1,"3,793",2015-10-28,1,0,,,0
11,2015-10-02,1,2015-10-02,0,,0,"3,793",2015-11-07,1,1,,,0
89,2015-10-14,0,2015-10-14,1,2015-10-21,1,"3,793",2015-10-21,1,0,,,0
21,2015-09-29,1,2015-09-29,2,2015-10-12,1,"3,793",2015-11-07,1,1,,,0
91,2015-10-02,1,2015-10-02,0,2015-10-23,1,"3,793",2015-10-23,1,0,2015-10-28,26,1
48,2014-09-21,1,2014-09-21,138,2015-11-02,1,"3,795",2015-11-07,1,1,,,0
91,2015-10-12,1,2015-10-12,0,,0,"3,793",2015-10-22,1,2,2015-10-22,10,1
21,2015-10-10,1,2015-10-10,0,,0,"3,793",2015-11-07,1,1,,,0
19,2015-10-11,1,2015-10-11,0,,0,"3,793",2015-10-28,0,3,2015-10-28,17,1
85,2015-10-10,0,2015-10-10,0,2015-10-10,1,"3,793",2015-11-07,1,1,,,0
49,2015-10-12,1,2015-10-12,0,,0,"3,793",2015-10-23,1,2,2015-10-23,11,1
14,2015-10-06,1,2015-10-06,0,,0,"3,793",2015-11-07,1,1,,,0
19,2015-10-11,1,2015-10-11,0,,0,"3,793",2015-10-28,1,3,2015-10-28,17,1
61,2015-10-04,1,2015-10-04,0,,0,"3,793",2015-11-07,1,1,,,0
87,2015-10-06,1,2015-10-06,0,,0,"3,793",2015-10-23,1,3,2015-10-23,17,1
11,2015-10-12,1,2015-10-12,0,,0,"3,793",2015-11-07,1,1,,,0
84,2015-10-12,0,2015-10-20,0,2015-10-27,1,"3,793",2015-10-27,1,0,2015-10-28,8,1
47,2015-10-02,1,2015-10-02,1,2015-10-20,1,"3,793",2015-11-07,1,1,,,0
17,2014-09-03,0,2014-09-03,0,2015-10-14,1,"3,795",2015-10-19,1,1,2015-10-19,411,1
87,2014-08-01,0,2014-08-01,250,2015-11-02,1,"3,795",2015-11-07,1,1,,,0
24,2015-10-14,1,2015-10-14,0,,0,"3,793",2015-10-31,1,4,2015-10-31,17,1
17,2015-10-08,0,2015-10-08,0,2015-10-08,1,"3,793",2015-11-07,1,1,,,0
21,2015-09-29,1,2015-09-29,0,,0,"3,793",2015-10-16,1,2,2015-10-16,17,1
41,2015-10-08,1,2015-10-08,0,,0,"3,793",2015-11-07,1,1,,,0
84,2015-10-09,0,2015-10-09,0,2015-10-30,1,"3,793",2015-10-30,2,0,2015-10-31,22,1
21,2015-09-26,1,2015-09-26,0,,0,"3,793",2015-11-07,1,1,,,0
84,2015-10-15,1,2015-10-15,0,2015-10-15,1,"3,793",2015-10-15,1,0,2015-10-19,4,1
47,2015-10-06,1,2015-10-06,0,,0,"3,793",2015-11-07,1,1,,,0
83,2015-07-04,1,2015-07-04,3,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
75,2015-10-09,1,2015-10-09,0,,0,"3,793",2015-11-07,1,1,,,0
71,2015-07-28,1,2015-07-28,0,2015-09-25,1,"3,793",2015-10-19,1,2,2015-10-19,83,1
87,2015-09-29,1,2015-09-29,0,,0,"3,793",2015-11-07,1,1,,,0
11,2015-06-16,1,2015-06-16,5,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
21,2015-10-07,0,2015-10-07,0,2015-10-07,1,"3,793",2015-11-07,1,1,,,0
51,2015-10-13,0,2015-10-13,0,2015-10-13,1,"3,793",2015-10-13,1,1,2015-10-13,0,1
62,2015-10-08,1,2015-10-08,0,,0,"3,793",2015-11-07,1,1,,,0
62,2015-07-01,0,2015-07-01,12,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
41,2015-10-01,0,2015-10-01,5,2015-11-07,1,"3,793",2015-11-07,1,0,,,0
88,2014-08-13,1,2014-08-13,111,2015-03-31,1,"3,795",2015-05-31,1,1,,,0
21,2015-10-11,1,2015-10-11,0,,0,"3,793",2015-11-07,1,1,,,0
34,2015-06-03,0,2015-06-03,5,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
21,2015-10-14,1,2015-10-14,0,,0,"3,793",2015-11-07,1,1,,,0
86,2015-07-03,1,2015-07-03,2,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
41,2015-10-10,1,2015-10-10,0,,0,"3,793",2015-11-07,1,1,,,0
91,2015-10-08,1,2015-10-08,0,,0,"3,793",2015-10-08,1,1,2015-10-08,0,1
84,2015-10-15,1,2015-10-15,0,,0,"3,793",2015-11-07,1,1,,,0
75,2015-10-15,1,2015-10-15,0,,0,"3,793",2015-11-01,1,4,2015-11-01,17,1
21,2015-10-10,1,2015-10-10,0,,0,"3,793",2015-11-07,1,1,,,0
67,2015-10-06,1,2015-10-06,0,2015-10-08,1,"3,793",2015-10-08,1,0,2015-10-08,2,1
91,2015-10-09,1,2015-10-09,0,,0,"3,793",2015-11-07,1,1,,,0
81,2015-06-29,0,2015-06-29,18,2015-11-02,1,"3,793",2015-11-02,1,0,,,0
91,2015-10-11,1,2015-10-11,0,,0,"3,793",2015-11-07,1,1,,,0
11,2015-10-08,1,2015-10-08,0,,0,"3,793",2015-10-08,1,2,2015-10-08,0,1
99,2015-10-09,1,2015-10-09,1,2015-10-27,1,"3,793",2015-11-07,1,1,,,0
87,2015-10-07,1,2015-10-07,0,,0,"3,793",2015-10-07,1,2,2015-10-07,0,1
71,2015-10-05,1,2015-10-05,0,,0,"3,793",2015-11-07,1,1,,,0
21,2015-09-29,1,2015-09-29,0,,0,"3,793",2015-10-16,1,2,2015-10-16,17,1
98,2015-07-05,1,2015-07-05,2,2015-09-06,1,"3,793",2015-11-07,1,1,,,0
41,2015-10-14,0,2015-10-14,0,2015-11-04,1,"3,793",2015-11-04,1,0,2015-11-04,21,1
13,2015-10-05,1,2015-10-05,0,,0,"3,793",2015-11-07,1,1,,,0
14,2015-10-08,1,2015-10-08,0,,0,"3,793",2015-10-08,1,1,2015-10-08,0,1
82,2015-10-10,1,2015-10-10,0,,0,"3,793",2015-11-07,1,1,,,0
51,2015-10-13,0,2015-10-13,0,2015-10-31,1,"3,793",2015-10-31,1,0,2015-11-04,22,1
13,2015-06-16,0,2015-06-16,2,2015-09-01,1,"3,793",2015-11-07,1,1,,,0
42,2015-09-29,1,2015-09-29,0,,0,"3,793",2015-10-09,1,4,2015-10-09,10,1
81,2015-10-03,1,2015-10-03,0,,0,"3,793",2015-11-07,1,1,,,0
38,2015-07-05,1,2015-07-05,9,2015-11-05,1,"3,793",2015-11-05,1,0,,,0
34,2015-09-29,1,2015-09-29,1,2015-10-15,1,"3,793",2015-11-07,1,1,,,0
11,2015-10-09,0,2015-10-09,0,2015-10-09,1,"3,793",2015-10-09,2,1,2015-10-09,0,1
88,2015-10-15,1,2015-10-15,0,,0,"3,793",2015-11-07,1,1,,,0
51,2015-10-13,1,2015-10-13,0,2015-10-13,1,"3,793",2015-10-13,1,0,2015-10-13,0,1
41,2015-10-03,0,2015-10-03,2,2015-10-18,1,"3,793",2015-11-07,1,1,,,0
81,2015-10-10,1,2015-10-10,0,,0,"3,793",,0,0,2015-10-10,0,1
41,2015-10-02,1,2015-10-02,3,2015-10-28,1,"3,793",2015-11-07,1,1,,,0
13,2015-09-25,0,2015-09-25,0,2015-10-09,1,"3,793",2015-10-09,1,0,2015-10-09,14,1
88,2015-10-06,1,2015-10-06,0,,0,"3,793",2015-11-07,1,1,,,0
11,2015-10-10,1,2015-10-10,0,,0,"3,793",,0,0,2015-10-10,0,1
34,2015-10-01,1,2015-10-01,0,,0,"3,793",2015-11-07,1,1,,,0
88,2015-10-11,1,2015-10-11,0,2015-10-14,1,"3,793",2015-10-14,1,0,2015-10-16,5,1
22,2015-10-10,1,2015-10-10,0,,0,"3,793",2015-11-07,1,1,,,0
91,2014-09-18,1,2014-09-18,0,2015-10-05,1,"3,795",2015-10-05,1,0,2015-10-05,382,1
81,2014-09-26,1,2014-09-26,66,2015-10-08,1,"3,795",2015-11-07,1,1,,,0
67,2015-10-06,0,2015-10-06,0,2015-10-06,1,"3,793",2015-10-06,2,1,2015-10-06,0,1
98,2015-10-15,1,2015-10-15,0,,0,"3,793",2015-11-07,1,1,,,0
91,2015-10-06,1,2015-10-06,0,,0,"3,793",2015-10-06,1,1,2015-10-06,0,1
91,2015-09-29,1,2015-09-29,0,,0,"3,793",2015-11-07,1,1,,,0
98,2015-10-02,1,2015-10-02,0,,0,"3,793",2015-10-12,1,3,2015-10-12,10,1
94,2015-10-10,1,2015-10-10,0,,0,"3,793",2015-11-07,1,1,,,0
35,2015-10-08,0,2015-10-08,0,2015-10-15,1,"3,793",2015-10-15,1,0,2015-10-15,7,1
22,2015-10-11,1,2015-10-11,0,,0,"3,793",2015-11-07,1,1,,,0
85,2015-10-12,1,2015-10-12,0,,0,"3,793",2015-10-12,1,1,2015-10-12,0,1
48,2015-09-26,1,2015-09-26,0,,0,"3,793",2015-11-07,1,1,,,0
16,2015-10-01,1,2015-10-01,0,2015-10-13,1,"3,793",2015-10-13,1,0,2015-10-13,12,1
88,2015-10-07,1,2015-10-07,0,,0,"3,793",2015-11-07,1,1,,,0
31,2015-10-07,1,2015-10-07,0,,0,"3,793",2015-10-07,1,1,2015-10-07,0,1
87,2015-09-29,1,2015-09-29,0,,0,"3,793",2015-11-07,1,1,,,0
89,2015-10-08,1,2015-10-08,0,,0,"3,793",2015-10-08,1,1,2015-10-08,0,1
87,2015-09-28,1,2015-09-28,0,,0,"3,793",2015-11-07,1,1,,,0
11,2015-10-10,0,2015-10-10,0,2015-10-10,1,"3,793",2015-10-10,1,1,2015-10-10,0,1
91,2015-09-25,1,2015-09-25,0,,0,"3,793",2015-11-07,1,1,,,0
42,2015-09-29,1,2015-09-29,0,,0,"3,793",2015-10-09,1,4,2015-10-09,10,1
61,2015-10-10,1,2015-10-10,0,,0,"3,793",2015-11-07,1,1,,,0
53,2015-10-06,1,2015-10-06,0,,0,"3,793",2015-10-06,1,1,2015-10-06,0,1
87,2015-10-07,1,2015-10-07,0,,0,"3,793",2015-11-07,1,1,,,0
81,2015-10-10,1,2015-10-10,0,,0,"3,793",2015-10-10,1,1,2015-10-10,0,1
84,2014-08-21,1,2014-08-21,107,2015-10-08,1,"3,795",2015-11-07,1,1,,,0
51,2015-10-03,1,2015-10-03,0,2015-10-12,1,"3,793",2015-10-12,1,0,2015-10-12,9,1
48,2015-09-25,1,2015-09-25,1,2015-10-05,1,"3,793",2015-11-07,1,1,,,0
48,2015-10-09,0,2015-10-09,0,2015-10-09,1,"3,793",2015-10-09,1,1,2015-10-09,0,1
11,2015-09-30,1,2015-09-30,0,,0,"3,793",2015-11-07,1,1,,,0
85,2015-10-12,1,2015-10-12,0,,0,"3,793",2015-10-12,1,1,2015-10-12,0,1
69,2015-05-31,1,2015-05-31,19,2015-10-28,1,"3,793",2015-11-07,1,1,,,0
81,2015-10-12,1,2015-10-12,0,,0,"3,793",2015-10-12,1,1,2015-10-12,0,1
82,2015-10-02,1,2015-10-02,0,,0,"3,793",2015-11-07,1,1,,,0
88,2015-06-16,0,2015-06-16,0,2015-08-14,1,"3,793",2015-10-13,1,4,2015-10-14,120,1
81,2014-09-13,0,2014-09-13,337,2015-11-07,1,"3,795",2015-11-07,1,0,,,0
87,2015-10-09,1,2015-10-09,0,,0,"3,793",2015-10-09,1,1,2015-10-09,0,1
75,2015-09-30,1,2015-09-30,0,,0,"3,793",2015-11-07,1,1,,,0
81,2015-10-11,1,2015-10-11,0,2015-10-18,1,"3,793",2015-10-18,1,0,2015-10-20,9,1
21,2015-10-03,1,2015-10-03,0,,0,"3,793",2015-11-07,1,1,,,0
81,2015-10-10,1,2015-10-10,0,,0,"3,793",,0,0,2015-10-10,0,1
96,2014-09-13,0,2014-09-13,182,2015-09-20,1,"3,795",2015-11-07,1,1,,,0
11,2015-10-10,1,2015-10-10,0,,0,"3,793",,0,0,2015-10-10,0,1
11,2015-09-25,1,2015-09-25,0,,0,"3,793",2015-11-07,1,1,,,0
75,2015-09-24,1,2015-09-24,0,2015-10-09,1,"3,793",2015-10-20,1,4,2015-10-20,26,1
71,2015-10-06,1,2015-10-06,2,2015-10-27,1,"3,793",2015-11-07,1,1,,,0
98,2014-08-28,0,2014-08-28,108,2015-11-06,1,"3,795",2015-11-06,1,0,,,0
98,2015-09-25,1,2015-09-25,1,2015-10-15,1,"3,793",2015-11-07,1,1,,,0
11,2015-10-02,0,2015-10-02,0,2015-11-06,1,"3,793",2015-11-06,1,0,2015-11-06,35,1
99,2015-10-06,1,2015-10-06,0,,0,"3,793",2015-11-07,1,1,,,0
86,2014-08-23,0,2014-08-23,434,2015-11-06,1,"3,795",2015-11-06,1,0,,,0
81,2015-07-02,1,2015-07-02,2,2015-09-02,1,"3,793",2015-11-07,1,1,,,0
31,2015-10-04,1,2015-10-04,3,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
45,2015-09-25,1,2015-09-25,0,,0,"3,793",2015-11-07,1,1,,,0
82,2015-10-09,0,2015-10-09,4,2015-11-06,1,"3,793",2015-11-06,1,0,,,0
11,2015-10-05,1,2015-10-05,0,,0,"3,793",2015-11-07,1,1,,,0
81,2015-10-07,0,2015-10-07,3,2015-11-04,1,"3,793",2015-11-04,1,0,,,0
12,2014-08-26,1,2014-08-26,116,2015-11-02,1,"3,795",2015-11-07,1,1,,,0
11,2015-10-10,1,2015-10-10,4,2015-11-01,1,"3,793",2015-11-01,2,0,,,0
85,2015-09-24,1,2015-09-24,1,2015-10-05,1,"3,793",2015-11-07,1,1,,,0
83,2015-10-02,1,2015-10-02,5,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
96,2015-10-02,1,2015-10-02,0,,0,"3,793",2015-11-07,1,1,,,0
21,2015-09-25,0,2015-09-25,5,2015-11-04,1,"3,793",2015-11-04,1,0,,,0
16,2015-10-12,0,2015-10-12,1,2015-10-29,1,"3,793",2015-11-07,1,1,,,0
82,2015-09-29,1,2015-09-29,2,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
