Bairro,Entrada,Condominio,ValorM2,QtdeDormitorios,Suite,Vagas,AreaUtil,ConstruidoEm,Andares,Churrasqueira,AreaServico,Playground,Ginastica,SalaJogos,Piscina,QuadraPoliesportiva,SalaFestas,ValorVenda
'SANTANA DE PARNAIBA',0,400,5063,2,1,1,79,2012,15,1,0,1,1,1,1,1,0,400000
'TAMBORE  - SANTANA DE PARNAIBA',0,450,5150,2,1,2,80,2009,13,1,0,1,1,1,1,1,1,412000
'TAMBORE  - SANTANA DE PARNAIBA',65000,400,5889,2,1,2,72,2014,15,1,0,1,1,1,1,1,1,424000
'TAMBORE  - SANTANA DE PARNAIBA',0,680,5213,3,1,2,94,2004,14,1,0,1,1,1,1,1,1,490000
'TAMBORE  - SANTANA DE PARNAIBA',0,550,5347,2,2,2,101,2011,15,1,0,1,1,1,1,1,1,540000
'TAMBORE  - SANTANA DE PARNAIBA',0,564,5450,2,2,2,100,2009,15,1,0,1,1,1,1,1,1,545000
'TAMBORE  - SANTANA DE PARNAIBA',0,500,5000,2,2,2,110,2012,13,1,0,1,1,1,1,1,1,550000
'TAMBORE  - SANTANA DE PARNAIBA',400000,450,5000,3,2,1,110,2012,13,1,0,1,1,1,1,1,1,550000
'TAMBORE  - SANTANA DE PARNAIBA',0,550,4205,3,1,2,132,2012,24,1,0,1,1,1,1,1,1,555000
'TAMBORE  - SANTANA DE PARNAIBA',0,600,4242,4,2,2,132,2012,14,1,0,1,1,1,1,1,1,560000
'TAMBORE  - SANTANA DE PARNAIBA',0,0,4318,3,1,2,132,2012,14,1,0,0,0,0,1,1,0,570000
'TAMBORE  - SANTANA DE PARNAIBA',130000,550,4356,4,1,2,132,2012,14,1,0,1,1,1,1,1,1,575500
'TAMBORE  - SANTANA DE PARNAIBA',0,450,5792,2,2,2,101,2012,15,1,0,0,0,0,1,0,0,585000
'TAMBORE  - SANTANA DE PARNAIBA',0,500,4508,3,1,2,132,2012,14,1,0,1,1,1,1,1,1,595000
'TAMBORE  - SANTANA DE PARNAIBA',599000,600,5301,3,2,2,113,2009,13,1,0,1,1,1,1,1,1,599000
'TAMBORE  - SANTANA DE PARNAIBA',0,610,5478,3,2,2,113,2007,15,1,0,1,1,1,1,1,1,619000
'TAMBORE  - SANTANA DE PARNAIBA',0,612,4676,4,3,2,139,2012,15,0,0,0,0,0,0,0,0,650000
'TAMBORE  - SANTANA DE PARNAIBA',0,0,4748,3,3,2,139,2012,14,1,0,0,0,0,1,1,0,660000
'TAMBORE  - SANTANA DE PARNAIBA',0,650,4203,3,3,3,158,2012,14,1,0,1,1,1,1,1,1,664000
'TAMBORE  - SANTANA DE PARNAIBA',0,0,4595,3,1,2,148,2012,15,1,0,1,0,1,1,0,1,680000
'TAMBORE  - SANTANA DE PARNAIBA',0,600,6106,3,1,2,113,2012,15,1,0,1,0,1,1,0,1,690000
'TAMBORE  - SANTANA DE PARNAIBA',0,1,4557,3,3,3,158,2012,15,0,0,1,1,1,0,1,1,720000
'TAMBORE  - SANTANA DE PARNAIBA',0,0,6066,3,3,3,122,2012,15,1,1,0,0,0,1,1,0,740000
'TAMBORE  - SANTANA DE PARNAIBA',0,550,6066,3,3,3,122,2012,12,0,0,1,0,1,1,1,1,740000
'TAMBORE  - SANTANA DE PARNAIBA',0,600,6637,2,1,2,113,2012,15,0,0,0,0,0,0,0,0,750000
'TAMBORE  - SANTANA DE PARNAIBA',0,0,6637,3,1,2,113,2012,12,0,1,0,0,0,0,0,0,750000
'TAMBORE  - SANTANA DE PARNAIBA',0,700,6148,3,3,2,122,2009,14,0,0,0,0,0,0,0,0,750000
