mês,x,ano_mes,capital,baixada,interior,total
01-01-1991,1,01-91,291,192,174,657
01-02-1991,2,02-91,317,224,191,732
01-03-1991,3,03-91,294,228,191,713
01-04-1991,4,04-91,293,186,155,634
01-05-1991,5,05-91,302,177,171,650
01-06-1991,6,06-91,313,169,165,647
01-07-1991,7,07-91,232,174,152,558
01-08-1991,8,08-91,247,183,127,557
01-09-1991,9,09-91,264,150,128,542
01-10-1991,10,10-91,317,169,127,613
01-11-1991,11,11-91,296,166,115,577
01-12-1991,12,12-91,301,179,158,638
01-01-1992,13,01-92,322,175,120,617
01-02-1992,14,02-92,329,191,171,691
01-03-1992,15,03-92,379,197,191,767
01-04-1992,16,04-92,265,199,184,648
01-05-1992,17,05-92,327,168,144,639
01-06-1992,18,06-92,240,178,165,583
01-07-1992,19,07-92,268,137,136,541
01-08-1992,20,08-92,262,182,172,616
01-09-1992,21,09-92,265,141,154,560
01-10-1992,22,10-92,269,178,191,638
01-11-1992,23,11-92,319,178,161,658
01-12-1992,24,12-92,300,165,212,677
01-01-1993,25,01-93,281,174,142,597
01-02-1993,26,02-93,293,158,200,651
01-03-1993,27,03-93,357,190,208,755
01-04-1993,28,04-93,340,191,190,721
01-05-1993,29,05-93,311,197,157,665
01-06-1993,30,06-93,321,165,138,624
01-07-1993,31,07-93,344,153,160,657
01-08-1993,32,08-93,310,158,149,617
01-09-1993,33,09-93,276,157,139,572
01-10-1993,34,10-93,291,174,169,634
01-11-1993,35,11-93,317,147,145,609
01-12-1993,36,12-93,292,176,150,618
01-01-1994,37,01-94,304,196,171,671
01-02-1994,38,02-94,323,189,192,704
01-03-1994,39,03-94,348,195,197,740
01-04-1994,40,04-94,344,225,168,737
01-05-1994,41,05-94,324,148,149,621
01-06-1994,42,06-94,358,156,168,682
01-07-1994,43,07-94,308,159,214,681
01-08-1994,44,08-94,270,184,156,610
01-09-1994,45,09-94,355,155,184,694
01-10-1994,46,10-94,410,183,168,761
01-11-1994,47,11-94,324,189,168,681
01-12-1994,48,12-94,413,229,184,826
01-01-1995,49,01-95,393,232,206,831
01-02-1995,50,02-95,393,208,213,814
01-03-1995,51,03-95,333,217,206,756
01-04-1995,52,04-95,344,237,207,788
01-05-1995,53,05-95,380,200,204,784
01-06-1995,54,06-95,297,179,197,673
01-07-1995,55,07-95,301,219,182,702
01-08-1995,56,08-95,299,205,160,664
01-09-1995,57,09-95,255,203,165,623
01-10-1995,58,10-95,244,191,130,565
01-11-1995,59,11-95,242,191,170,603
01-12-1995,60,12-95,263,175,197,635
01-01-1996,61,01-96,276,174,171,621
01-02-1996,62,02-96,253,192,156,601
01-03-1996,63,03-96,309,192,205,706
01-04-1996,64,04-96,257,177,144,578
01-05-1996,65,05-96,230,190,136,556
01-06-1996,66,06-96,264,189,143,596
01-07-1996,67,07-96,228,219,177,624
01-08-1996,68,08-96,261,167,173,601
01-09-1996,69,09-96,243,166,162,571
01-10-1996,70,10-96,288,177,156,621
01-11-1996,71,11-96,235,165,157,557
01-12-1996,72,12-96,237,223,167,627
01-01-1997,73,01-97,235,171,163,569
01-02-1997,74,02-97,262,188,199,649
01-03-1997,75,03-97,244,186,194,624
01-04-1997,76,04-97,243,145,142,530
01-05-1997,77,05-97,246,155,185,586
01-06-1997,78,06-97,264,187,189,640
01-07-1997,79,07-97,190,171,180,541
01-08-1997,80,08-97,226,168,150,544
01-09-1997,81,09-97,257,156,188,601
01-10-1997,82,10-97,244,158,171,573
01-11-1997,83,11-97,220,166,143,529
01-12-1997,84,12-97,221,154,162,537
01-01-1998,85,01-98,215,173,189,577
01-02-1998,86,02-98,196,152,171,519
01-03-1998,87,03-98,230,219,157,606
01-04-1998,88,04-98,174,202,142,518
01-05-1998,89,05-98,166,189,134,489
01-06-1998,90,06-98,145,149,102,396
01-07-1998,91,07-98,165,168,114,447
01-08-1998,92,08-98,158,150,125,433
01-09-1998,93,09-98,171,176,86,433
01-10-1998,94,10-98,175,166,117,458
01-11-1998,95,11-98,149,152,84,385
01-12-1998,96,12-98,175,189,101,465
01-01-1999,97,01-99,201,205,124,530
01-02-1999,98,02-99,210,145,153,508
01-03-1999,99,03-99,174,150,127,451
01-04-1999,100,04-99,193,160,157,510
01-05-1999,101,05-99,184,175,174,533
01-06-1999,102,06-99,175,184,135,494
01-07-1999,103,07-99,179,137,147,463
01-08-1999,104,08-99,234,169,152,555
01-09-1999,105,09-99,198,122,128,448
01-10-1999,106,10-99,182,142,123,447
01-11-1999,107,11-99,213,126,132,471
01-12-1999,108,12-99,218,137,123,478
01-01-2000,109,01-00,249,152,146,547
01-02-2000,110,02-00,214,153,133,500
01-03-2000,111,03-00,279,140,153,572
01-04-2000,112,04-00,250,150,146,546
01-05-2000,113,05-00,248,156,173,577
01-06-2000,114,06-00,233,154,158,545
01-07-2000,115,07-00,171,138,139,448
01-08-2000,116,08-00,222,144,134,500
01-09-2000,117,09-00,209,138,125,472
01-10-2000,118,10-00,226,143,181,550
01-11-2000,119,11-00,184,155,156,495
01-12-2000,120,12-00,252,134,149,535
01-01-2001,121,01-01,212,159,172,543
01-02-2001,122,02-01,213,164,170,547
01-03-2001,123,03-01,258,136,179,573
01-04-2001,124,04-01,218,171,137,526
01-05-2001,125,05-01,198,157,164,519
01-06-2001,126,06-01,175,136,132,443
01-07-2001,127,07-01,157,137,136,430
01-08-2001,128,08-01,167,139,171,477
01-09-2001,129,09-01,205,147,143,495
01-10-2001,130,10-01,231,144,172,547
01-11-2001,131,11-01,220,161,167,548
01-12-2001,132,12-01,183,169,163,515
01-01-2002,133,01-02,231,156,149,536
01-02-2002,134,02-02,219,132,182,533
01-03-2002,135,03-02,274,187,153,614
01-04-2002,136,04-02,295,148,225,668
01-05-2002,137,05-02,251,207,209,667
01-06-2002,138,06-02,221,164,167,552
01-07-2002,139,07-02,182,169,177,528
01-08-2002,140,08-02,188,141,164,493
01-09-2002,141,09-02,170,182,188,540
01-10-2002,142,10-02,232,167,178,577
01-11-2002,143,11-02,202,158,185,545
01-12-2002,144,12-02,253,191,188,632
01-01-2003,145,01-03,208,197,184,589
01-02-2003,146,02-03,219,180,184,583
01-03-2003,147,03-03,259,176,178,613
01-04-2003,148,04-03,245,189,151,585
01-05-2003,149,05-03,237,186,176,599
01-06-2003,150,06-03,199,182,165,546
