%  Estos son los valores del indice general de la Bolsa de Nueva York

%  Estos son los valores del indice general de la Bolsa de Nueva York

@relation bolsa-Nueva-York
@attribute anio	real
@attribute mes	real
@attribute dia	real
@attribute salto-dia {si, no}
@attribute salto-mes {si, no}
@attribute abre real
@attribute max  real
@attribute min  real
@attribute cierra  real
@attribute media-2-dias real
@attribute media-3-dias real
@attribute sube {si, no}

@data
2000,12,28,no,no,1328,1335,1325,1334,1334,1334,no
2000,12,27,no,no,1315,1332,1310,1328,1334,1334,no
2000,12,26,no,no,1305,1315,1301,1315,1331,1331,no
2000,12,22,si,no,1274,1305,1274,1305,1322,1326,no
2000,12,21,no,no,1264,1285,1254,1274,1310,1316,no
2000,12,20,no,no,1305,1305,1261,1264,1290,1298,si
2000,12,19,no,no,1322,1346,1305,1305,1269,1281,si
2000,12,18,no,no,1312,1332,1312,1322,1284,1281,no
2000,12,15,si,no,1340,1340,1305,1312,1314,1297,si
2000,12,14,no,no,1359,1359,1340,1340,1317,1313,si
2000,12,13,no,no,1371,1385,1358,1359,1326,1325,si
2000,12,12,no,no,1380,1380,1370,1371,1350,1337,si
2000,12,11,no,no,1369,1389,1364,1380,1365,1357,no
2000,12,8,si,no,1343,1380,1343,1369,1375,1370,no
2000,12,7,no,no,1351,1353,1339,1343,1375,1373,si
2000,12,6,no,no,1376,1376,1346,1351,1356,1364,si
2000,12,5,no,no,1324,1376,1324,1376,1347,1354,no
2000,12,4,no,no,1315,1332,1310,1324,1363,1357,no
2000,12,1,si,no,1314,1334,1307,1315,1350,1350,no
2000,11,30,si,si,1341,1341,1294,1314,1320,1338,si
2000,11,29,no,no,1336,1352,1329,1341,1315,1318,no
2000,11,28,no,no,1348,1358,1334,1336,1328,1323,si
2000,11,27,no,no,1341,1362,1341,1348,1339,1330,no
2000,11,24,si,no,1322,1343,1322,1341,1342,1342,no
2000,11,22,si,no,1347,1347,1321,1322,1345,1342,si
2000,11,21,no,no,1342,1355,1333,1347,1331,1337,no
2000,11,20,no,no,1367,1367,1341,1342,1334,1337,si
2000,11,17,si,no,1372,1384,1355,1367,1344,1337,si
2000,11,16,no,no,1389,1394,1370,1372,1355,1352,si
2000,11,15,no,no,1382,1395,1374,1389,1370,1360,no
2000,11,14,no,no,1351,1390,1351,1382,1381,1376,no
2000,11,13,no,no,1365,1365,1328,1351,1386,1381,si
2000,11,10,si,no,1400,1400,1365,1365,1366,1374,si
2000,11,9,no,no,1409,1409,1369,1400,1358,1366,si
2000,11,8,no,no,1431,1437,1408,1409,1382,1372,si
2000,11,7,no,no,1432,1436,1423,1431,1404,1391,si
2000,11,6,no,no,1428,1438,1427,1432,1420,1413,no
2000,11,3,si,no,1428,1433,1420,1426,1432,1424,si
2000,11,2,no,no,1421,1433,1421,1428,1429,1430,no
2000,11,1,no,no,1429,1429,1410,1421,1427,1429,si
2000,10,31,si,si,1398,1432,1398,1429,1424,1425,no
2000,10,30,no,no,1379,1406,1376,1398,1425,1426,no
2000,10,27,si,no,1364,1384,1364,1379,1413,1416,no
2000,10,26,no,no,1364,1372,1337,1364,1389,1402,si
2000,10,25,no,no,1398,1398,1362,1364,1371,1380,si
2000,10,24,no,no,1395,1415,1388,1398,1364,1369,no
2000,10,23,no,no,1396,1406,1387,1395,1381,1375,si
2000,10,20,si,no,1388,1408,1382,1396,1396,1386,no
2000,10,19,no,no,1342,1389,1342,1388,1396,1396,no
2000,10,18,no,no,1349,1356,1305,1342,1392,1393,si
2000,10,17,no,no,1374,1380,1342,1349,1365,1375,si
2000,10,16,no,no,1374,1379,1365,1374,1346,1359,no
2000,10,13,si,no,1329,1374,1327,1374,1362,1355,no
2000,10,12,no,no,1364,1374,1328,1329,1374,1366,si
2000,10,11,no,no,1387,1387,1349,1364,1351,1359,si
2000,10,10,no,no,1402,1408,1383,1387,1346,1355,si
2000,10,9,no,no,1408,1409,1392,1402,1375,1360,si
2000,10,6,si,no,1436,1443,1397,1408,1394,1384,si
2000,10,5,no,no,1434,1444,1431,1436,1405,1399,no
2000,10,4,no,no,1426,1439,1416,1434,1422,1415,no
2000,10,3,no,no,1436,1454,1425,1426,1435,1426,si
2000,10,2,no,no,1436,1445,1429,1436,1430,1432,si
2000,9,29,si,si,1458,1458,1436,1436,1431,1432,si
2000,9,28,no,no,1426,1461,1425,1458,1436,1433,no
2000,9,27,no,no,1427,1437,1419,1426,1447,1443,si
2000,9,26,no,no,1439,1448,1425,1427,1442,1440,si
2000,9,25,no,no,1448,1457,1435,1439,1426,1437,si
2000,9,22,si,no,1449,1449,1421,1448,1433,1430,si
2000,9,21,no,no,1451,1452,1436,1449,1443,1438,si
2000,9,20,no,no,1459,1460,1430,1451,1448,1445,si
2000,9,19,no,no,1444,1461,1444,1459,1450,1449,no
2000,9,18,no,no,1465,1467,1441,1444,1455,1453,si
2000,9,15,si,no,1480,1480,1460,1465,1452,1451,si
2000,9,14,no,no,1484,1494,1476,1480,1455,1456,si
2000,9,13,no,no,1481,1487,1473,1484,1473,1463,no
2000,9,12,no,no,1489,1496,1479,1481,1482,1477,si
2000,9,11,no,no,1494,1506,1483,1489,1483,1482,si
2000,9,8,si,no,1502,1502,1489,1494,1485,1485,si
2000,9,7,no,no,1492,1505,1492,1502,1491,1488,no
2000,9,6,no,no,1507,1512,1492,1492,1498,1495,si
2000,9,5,no,no,1520,1520,1504,1507,1497,1496,si
2000,9,1,si,no,1517,1530,1515,1520,1499,1500,no
2000,8,31,si,si,1502,1525,1502,1517,1513,1506,no
2000,8,30,no,no,1509,1510,1500,1502,1519,1515,si
2000,8,29,no,no,1514,1514,1505,1509,1510,1513,si
2000,8,28,no,no,1506,1523,1506,1514,1506,1510,no
2000,8,25,si,no,1508,1513,1505,1506,1511,1508,si
2000,8,24,no,no,1505,1511,1501,1508,1510,1510,no
2000,8,23,no,no,1498,1507,1489,1505,1507,1509,no
2000,8,22,no,no,1499,1508,1497,1498,1507,1506,si
2000,8,21,no,no,1491,1502,1491,1499,1502,1504,no
2000,8,18,si,no,1496,1499,1488,1491,1498,1501,si
