%  Estos son los valores del indice general de la Bolsa de Nueva York

@relation bolsa-Nueva-York
@attribute anio	real
@attribute mes	real
@attribute dia	real
@attribute abre real
@attribute max  real
@attribute min  real
@attribute cierra  real
@attribute sube {si, no}

@data
2000,12,28,1328,1335,1325,1334,no
2000,12,27,1315,1332,1310,1328,no
2000,12,26,1305,1315,1301,1315,no
2000,12,22,1274,1305,1274,1305,no
2000,12,21,1264,1285,1254,1274,no
2000,12,20,1305,1305,1261,1264,si
2000,12,19,1322,1346,1305,1305,si
2000,12,18,1312,1332,1312,1322,no
2000,12,15,1340,1340,1305,1312,si
2000,12,14,1359,1359,1340,1340,si
2000,12,13,1371,1385,1358,1359,si
2000,12,12,1380,1380,1370,1371,si
2000,12,11,1369,1389,1364,1380,no
2000,12,8,1343,1380,1343,1369,no
2000,12,7,1351,1353,1339,1343,si
2000,12,6,1376,1376,1346,1351,si
2000,12,5,1324,1376,1324,1376,no
2000,12,4,1315,1332,1310,1324,no
2000,12,1,1314,1334,1307,1315,no
2000,11,30,1341,1341,1294,1314,si
2000,11,29,1336,1352,1329,1341,no
2000,11,28,1348,1358,1334,1336,si
2000,11,27,1341,1362,1341,1348,no
2000,11,24,1322,1343,1322,1341,no
2000,11,22,1347,1347,1321,1322,si
2000,11,21,1342,1355,1333,1347,no
2000,11,20,1367,1367,1341,1342,si
2000,11,17,1372,1384,1355,1367,si
2000,11,16,1389,1394,1370,1372,si
2000,11,15,1382,1395,1374,1389,no
2000,11,14,1351,1390,1351,1382,no
2000,11,13,1365,1365,1328,1351,si
2000,11,10,1400,1400,1365,1365,si
2000,11,9,1409,1409,1369,1400,si
2000,11,8,1431,1437,1408,1409,si
2000,11,7,1432,1436,1423,1431,si
2000,11,6,1428,1438,1427,1432,no
2000,11,3,1428,1433,1420,1426,si
2000,11,2,1421,1433,1421,1428,no
2000,11,1,1429,1429,1410,1421,si
2000,10,31,1398,1432,1398,1429,no
2000,10,30,1379,1406,1376,1398,no
2000,10,27,1364,1384,1364,1379,no
2000,10,26,1364,1372,1337,1364,si
2000,10,25,1398,1398,1362,1364,si
2000,10,24,1395,1415,1388,1398,no
2000,10,23,1396,1406,1387,1395,si
2000,10,20,1388,1408,1382,1396,no
2000,10,19,1342,1389,1342,1388,no
2000,10,18,1349,1356,1305,1342,si
2000,10,17,1374,1380,1342,1349,si
2000,10,16,1374,1379,1365,1374,no
2000,10,13,1329,1374,1327,1374,no
2000,10,12,1364,1374,1328,1329,si
2000,10,11,1387,1387,1349,1364,si
2000,10,10,1402,1408,1383,1387,si
2000,10,9,1408,1409,1392,1402,si
2000,10,6,1436,1443,1397,1408,si
2000,10,5,1434,1444,1431,1436,no
2000,10,4,1426,1439,1416,1434,no
2000,10,3,1436,1454,1425,1426,si
2000,10,2,1436,1445,1429,1436,si
2000,9,29,1458,1458,1436,1436,si
2000,9,28,1426,1461,1425,1458,no
2000,9,27,1427,1437,1419,1426,si
2000,9,26,1439,1448,1425,1427,si
2000,9,25,1448,1457,1435,1439,si
2000,9,22,1449,1449,1421,1448,si
2000,9,21,1451,1452,1436,1449,si
2000,9,20,1459,1460,1430,1451,si
2000,9,19,1444,1461,1444,1459,no
2000,9,18,1465,1467,1441,1444,si
2000,9,15,1480,1480,1460,1465,si
2000,9,14,1484,1494,1476,1480,si
2000,9,13,1481,1487,1473,1484,no
2000,9,12,1489,1496,1479,1481,si
2000,9,11,1494,1506,1483,1489,si
2000,9,8,1502,1502,1489,1494,si
2000,9,7,1492,1505,1492,1502,no
2000,9,6,1507,1512,1492,1492,si
2000,9,5,1520,1520,1504,1507,si
2000,9,1,1517,1530,1515,1520,no
2000,8,31,1502,1525,1502,1517,no
2000,8,30,1509,1510,1500,1502,si
