id,product,channel,free_user,user_plan,t,c
3315,B,HH,1,0,22,0
2372,A,FF,1,1,16,0
1098,B,HH,1,1,22,0
2758,B,HH,1,1,4,1
2377,A,FF,1,1,29,0
923,B,CC,1,0,1,1
3185,B,HH,1,0,2,1
1101,B,HH,1,1,5,0
3341,B,CC,1,0,0,1
484,B,AA,0,0,0,1
3240,B,CC,1,0,0,1
1047,B,HH,1,0,2,1
2091,B,CC,1,0,0,1
3663,A,FF,1,0,8,1
2012,B,HH,1,0,0,1
2159,B,CC,1,0,0,1
2545,A,FF,1,1,24,0
2118,B,HH,1,0,9,0
2971,B,CC,1,0,0,1
335,B,AA,0,0,9,0
3173,B,HH,1,0,0,1
2490,B,CC,1,1,0,1
3845,B,CC,1,0,0,1
3296,B,HH,1,1,5,0
5534,B,HH,1,0,15,0
823,B,GG,1,1,13,0
4353,B,HH,1,1,20,0
1954,B,HH,1,0,0,1
3666,A,FF,1,1,31,0
2256,B,II,1,1,3,0
5324,B,HH,1,0,21,0
2926,B,CC,0,1,9,0
1278,A,FF,1,1,25,0
618,B,CC,1,0,0,1
1647,B,CC,0,1,9,0
1090,B,HH,0,0,9,0
3641,A,FF,1,1,24,1
373,B,AA,0,0,9,0
2908,B,HH,0,0,1,1
48,B,BB,0,0,9,0
3652,A,FF,1,1,31,0
1546,B,HH,0,0,0,1
3264,B,HH,1,1,9,0
1914,B,HH,0,0,9,0
2001,B,HH,1,0,1,1
2801,B,HH,1,0,0,1
2644,B,GG,1,1,2,0
2558,B,CC,1,0,0,1
49,B,BB,0,0,9,0
5501,B,HH,1,1,27,0
1001,B,BB,0,0,9,0
3422,B,HH,1,0,0,1
818,B,GG,1,1,9,0
1204,B,II,1,0,31,0
3738,A,FF,1,1,24,0
1212,B,HH,1,0,0,1
650,B,CC,1,0,0,1
3977,B,GG,0,1,9,0
2493,B,CC,1,1,0,1
3985,B,GG,1,1,17,0
3230,B,HH,0,0,9,0
3573,B,II,0,1,9,0
1449,B,CC,1,1,6,1
5736,B,II,0,0,9,0
2141,B,CC,1,0,0,1
2559,B,CC,1,1,0,1
1726,B,HH,1,0,0,1
1751,B,CC,1,0,22,0
1264,A,FF,1,1,29,0
3882,B,GG,1,1,23,0
3077,B,BB,1,1,9,0
4859,A,FF,1,1,2,0
1526,B,GG,1,1,26,0
5582,B,II,0,0,9,0
3007,B,CC,1,0,0,1
5434,B,HH,1,1,22,0
2405,B,CC,1,1,6,1
3713,B,HH,1,0,0,1
4688,A,FF,1,1,1,0
4791,A,FF,1,1,16,0
4722,A,FF,1,1,29,0
4774,A,FF,1,1,22,0
4875,A,FF,1,1,2,0
5101,B,GG,0,1,9,0
3186,B,BB,0,0,9,0
1738,B,CC,1,1,28,0
3479,B,CC,1,0,0,1
991,B,BB,0,0,9,0
3609,A,FF,1,1,11,1
2191,B,HH,1,1,4,1
160,B,HH,1,1,22,0
4787,A,FF,1,1,25,0
398,B,CC,1,1,4,1
933,B,EE,1,0,1,0
5742,B,II,0,0,9,0
1251,B,HH,1,0,0,1
1529,B,HH,1,0,0,1
1721,B,HH,1,0,0,1
5898,A,FF,1,1,16,0
3356,B,HH,1,1,5,0
3648,A,FF,1,1,0,1
2246,B,HH,1,0,2,1
2073,B,HH,0,1,9,0
97,B,CC,0,1,0,1
2264,B,II,0,0,9,0
2043,B,HH,1,1,0,1
3911,A,DD,1,1,3,1
2804,B,CC,1,1,31,0
39,B,CC,0,0,0,1
3367,B,HH,1,1,6,0
2925,B,CC,0,0,9,0
5147,B,CC,0,1,9,0
5802,A,FF,1,1,4,0
4531,B,II,0,0,9,0
1845,B,BB,0,0,9,0
1033,B,HH,1,1,4,1
5440,B,HH,0,0,9,0
1900,B,BB,0,0,9,0
5931,A,FF,1,1,29,0
1319,B,HH,1,0,0,1
4789,A,FF,1,1,25,0
3938,B,GG,1,1,0,1
2807,B,HH,1,0,0,1
1177,B,CC,0,0,0,1
3101,B,HH,1,0,4,1
1424,B,CC,1,0,0,1
534,B,HH,1,0,0,1
4652,B,II,0,0,9,0
3766,B,HH,1,1,2,1
5203,B,CC,1,1,2,0
300,B,II,0,1,8,1
901,B,CC,0,1,3,1
4721,A,FF,1,1,27,0
4786,A,FF,1,1,31,0
271,A,JJ,1,1,31,0
2215,B,II,0,0,9,0
4254,B,CC,0,0,9,0
1152,B,HH,1,1,15,0
13,B,CC,1,1,26,1
2670,B,CC,1,0,0,1
2367,A,FF,1,1,29,0
161,B,HH,1,1,8,0
3761,B,HH,1,0,0,1
1170,B,II,0,0,9,0
3384,B,HH,1,0,0,1
1173,B,CC,0,0,0,1
902,B,CC,0,0,3,1
1096,B,CC,1,0,0,1
1426,B,GG,1,0,16,0
2590,B,CC,0,0,0,1
4122,B,CC,0,1,9,0
3801,A,FF,1,1,9,0
3102,B,HH,1,0,0,1
4636,B,II,1,1,10,0
1812,B,BB,1,0,9,0
3898,A,DD,1,1,0,1
5366,B,HH,1,1,22,0
497,B,HH,1,1,7,1
3697,A,FF,1,1,31,0
324,B,II,1,0,0,1
5974,B,GG,1,0,1,0
3672,B,HH,1,0,0,1
2469,A,FF,1,1,16,0
4152,B,CC,1,0,9,0
725,B,GG,1,1,11,0
2430,B,CC,0,0,0,1
4615,B,II,1,0,2,0
3393,B,HH,1,0,0,1
553,B,HH,1,1,12,1
381,B,II,1,0,16,0
5056,B,GG,0,1,9,0
2892,B,CC,1,1,15,0
2193,B,HH,1,0,0,1
172,B,CC,1,0,1,1
3228,B,HH,1,0,13,0
3380,B,HH,1,0,2,1
4314,B,BB,0,0,9,0
2258,B,II,0,0,9,0
646,B,CC,1,0,0,1
2152,B,CC,1,0,1,1
1010,B,HH,1,0,0,1
1933,B,HH,1,0,6,1
543,B,HH,1,0,0,1
1550,B,HH,1,0,0,1
677,B,GG,0,1,9,0
5144,B,CC,1,1,24,0
3656,A,FF,1,1,0,1
1277,A,FF,1,1,24,0
2,B,CC,1,0,0,1
862,B,CC,0,0,9,0
4474,B,II,1,1,4,0
1844,B,BB,0,0,9,0
777,B,GG,1,1,2,0
4220,B,CC,1,1,21,0
183,B,HH,1,1,10,0
5684,B,II,0,0,9,0
1290,A,FF,1,1,9,0
982,B,BB,0,0,9,0
5514,B,HH,1,0,9,0
2429,A,FF,1,1,25,0
5152,B,CC,1,1,12,0
4323,B,BB,0,0,9,0
2897,B,CC,0,0,9,0
4229,B,CC,1,1,31,0
4882,A,FF,1,1,2,0
5464,B,HH,1,0,5,0
678,B,GG,1,0,17,0
5361,B,HH,1,0,9,0
350,B,II,0,0,5,1
3053,B,BB,0,1,9,0
3691,A,FF,1,1,16,0
4026,B,GG,1,1,9,0
333,B,AA,0,0,9,0
2734,B,GG,1,1,22,0
5606,B,II,0,1,9,0
234,A,DD,1,1,4,0
1393,B,GG,1,1,17,0
1782,B,CC,1,1,27,0
